director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Jeb Stuart,Ricky Schroder,Nate Parker,Lee Norris,Drama,blood done sign my name,Ricky Schroder Nate Parker Lee Norris Jeb Stuart Drama blood done sign my name
Rafa Lara,Jorge Luis Moreno,Andrés Montiel,William Miller,Drama History War,"cinco de mayo, la batalla","Jorge Luis Moreno Andrés Montiel William Miller Rafa Lara Drama History War cinco de mayo, la batalla"
Michael Radford,Chris Noth,Jared Gilman,James Brolin,Comedy Drama Romance,elsa & fred,Chris Noth Jared Gilman James Brolin Michael Radford Comedy Drama Romance elsa & fred
Arthur Hiller,Eric Idle,Harvey Weinstein,Ryan O'Neal,Comedy,an alan smithee film: burn hollywood burn,Eric Idle Harvey Weinstein Ryan O'Neal Arthur Hiller Comedy an alan smithee film: burn hollywood burn
Michael Meredith,Jeff Bridges,Justin Timberlake,Ted Danson,Comedy Drama,the open road,Jeff Bridges Justin Timberlake Ted Danson Michael Meredith Comedy Drama the open road
Julio DePietro,Adrian Martinez,Scott Porter,Aaron Yoo,Comedy Romance,the good guy,Adrian Martinez Scott Porter Aaron Yoo Julio DePietro Comedy Romance the good guy
Katherine Dieckmann,Stephanie Szostak,Minnie Driver,Anthony Edwards,Comedy Drama,motherhood,Stephanie Szostak Minnie Driver Anthony Edwards Katherine Dieckmann Comedy Drama motherhood
William Dear,Madison Pettis,Corbin Bleu,Sandra Echeverría,Drama,free style,Madison Pettis Corbin Bleu Sandra Echeverría William Dear Drama free style
Kim Farrant,Nicholas Hamilton,Reef Ireland,Sean Keenan,Drama Mystery Thriller,strangerland,Nicholas Hamilton Reef Ireland Sean Keenan Kim Farrant Drama Mystery Thriller strangerland
Marcus Raboy,Mike Epps,Tamala Jones,Glenn Plummer,Comedy Crime Music,the janky promoters,Mike Epps Tamala Jones Glenn Plummer Marcus Raboy Comedy Crime Music the janky promoters
Scott Marshall,Drew Fuller,Drew Waters,Larry Miller,Comedy Romance,blonde ambition,Drew Fuller Drew Waters Larry Miller Scott Marshall Comedy Romance blonde ambition
Álex de la Iglesia,Jim Carter,Leonor Watling,Danny Sapani,Crime Mystery Thriller,the oxford murders,Jim Carter Leonor Watling Danny Sapani Álex de la Iglesia Crime Mystery Thriller the oxford murders
Andrew Traucki,Damian Walshe-Howling,Gyton Grantley,Adrienne Pickering,Horror Thriller,the reef,Damian Walshe-Howling Gyton Grantley Adrienne Pickering Andrew Traucki Horror Thriller the reef
Michael Clancy,Zooey Deschanel,Rip Torn,Kelly Preston,Comedy Drama,eulogy,Zooey Deschanel Rip Torn Kelly Preston Michael Clancy Comedy Drama eulogy
Patrick Lussier,Teryl Rothery,Craig Fairbrass,Adrian Holmes,Drama Fantasy Horror Thriller,white noise 2: the light,Teryl Rothery Craig Fairbrass Adrian Holmes Patrick Lussier Drama Fantasy Horror Thriller white noise 2: the light
Robert Adetuyi,Shane Pollard,Mishael Morgan,Chase Armitage,Drama Music,you got served: beat the world,Shane Pollard Mishael Morgan Chase Armitage Robert Adetuyi Drama Music you got served: beat the world
Kari Skogland,Jim Sturgess,Kevin Zegers,Michael McElhatton,Drama Thriller,fifty dead men walking,Jim Sturgess Kevin Zegers Michael McElhatton Kari Skogland Drama Thriller fifty dead men walking
Taedong Park,Drake Bell,Tom Arnold,Amanda Troop,Adventure Animation,jungle shuffle,Drake Bell Tom Arnold Amanda Troop Taedong Park Adventure Animation jungle shuffle
Paul Schrader,Veronica Ferres,Ayelet Zurer,Derek Jacobi,Drama War,adam resurrected,Veronica Ferres Ayelet Zurer Derek Jacobi Paul Schrader Drama War adam resurrected
Benedikt Erlingsson,Ingvar Eggert Sigurðsson,Charlotte Bøving,Sigríður María Egilsdóttir,Comedy Drama Romance,of horses and men,Ingvar Eggert Sigurðsson Charlotte Bøving Sigríður María Egilsdóttir Benedikt Erlingsson Comedy Drama Romance of horses and men
Gurinder Chadha,Sendhil Ramamurthy,Mark Addy,Shabana Azmi,Comedy Drama Horror Romance,it's a wonderful afterlife,Sendhil Ramamurthy Mark Addy Shabana Azmi Gurinder Chadha Comedy Drama Horror Romance it's a wonderful afterlife
Jason Connery,Ray Winstone,Henry Rollins,Jason London,Action Horror Sci-Fi,the devil's tomb,Ray Winstone Henry Rollins Jason London Jason Connery Action Horror Sci-Fi the devil's tomb
Vic Sarin,Jimi Mistry,Jesse Moss,John Light,Drama Romance,partition,Jimi Mistry Jesse Moss John Light Vic Sarin Drama Romance partition
Jim Issa,Elaine Hendrix,Luke Perry,Jon Gries,Comedy,good intentions,Elaine Hendrix Luke Perry Jon Gries Jim Issa Comedy good intentions
Jee-woon Kim,Kang-ho Song,Woo-sung Jung,Dal-su Oh,Action Adventure Comedy Western,"the good, the bad, the weird","Kang-ho Song Woo-sung Jung Dal-su Oh Jee-woon Kim Action Adventure Comedy Western the good, the bad, the weird"
Douglas Aarniokoski,Boris Kodjoe,Katrina Bowden,Kathleen Turner,Horror Thriller,nurse 3d,Boris Kodjoe Katrina Bowden Kathleen Turner Douglas Aarniokoski Horror Thriller nurse 3d
William Phillips,Tyler Mane,Callum Rennie,Dustin Milligan,Action Comedy Drama Western,gunless,Tyler Mane Callum Rennie Dustin Milligan William Phillips Action Comedy Drama Western gunless
Greg Mottola,Kristen Stewart,Martin Starr,Wendie Malick,Comedy Drama Romance,adventureland,Kristen Stewart Martin Starr Wendie Malick Greg Mottola Comedy Drama Romance adventureland
Andy Garcia,Danny Pino,Victor Rivers,Enrique Murciano,Drama Romance,the lost city,Danny Pino Victor Rivers Enrique Murciano Andy Garcia Drama Romance the lost city
Steve Carr,John Witherspoon,Mike Epps,Rolando Molina,Comedy,next friday,John Witherspoon Mike Epps Rolando Molina Steve Carr Comedy next friday
Sarik Andreasyan,Hayden Christensen,Jordana Brewster,Akon,Action Crime Drama Thriller,american heist,Hayden Christensen Jordana Brewster Akon Sarik Andreasyan Action Crime Drama Thriller american heist
Lewis Gilbert,Donald Pleasence,Burt Kwouk,Desmond Llewelyn,Action Adventure Thriller,you only live twice,Donald Pleasence Burt Kwouk Desmond Llewelyn Lewis Gilbert Action Adventure Thriller you only live twice
Julian Gilbey,Mem Ferda,Alfie Allen,Malese Jow,Action Comedy Crime Drama,plastic,Mem Ferda Alfie Allen Malese Jow Julian Gilbey Action Comedy Crime Drama plastic
Michael Haneke,Isabelle Huppert,Emmanuelle Riva,Jean-Louis Trintignant,Drama Romance,amour,Isabelle Huppert Emmanuelle Riva Jean-Louis Trintignant Michael Haneke Drama Romance amour
Gary Sherman,Tom Skerritt,Heather O'Rourke,Zelda Rubinstein,Horror Thriller,poltergeist iii,Tom Skerritt Heather O'Rourke Zelda Rubinstein Gary Sherman Horror Thriller poltergeist iii
Valeri Milev,Daniella Alonso,Roger Cross,Jesse Garcia,Action Horror,re-kill,Daniella Alonso Roger Cross Jesse Garcia Valeri Milev Action Horror re-kill
Stanley Kramer,Jonathan Winters,Sid Caesar,Spencer Tracy,Action Adventure Comedy Crime,"it's a mad, mad, mad, mad world","Jonathan Winters Sid Caesar Spencer Tracy Stanley Kramer Action Adventure Comedy Crime it's a mad, mad, mad, mad world"
Pedro Almodóvar,Carmen Maura,Lola Dueñas,Antonio de la Torre,Comedy Crime Drama Mystery,volver,Carmen Maura Lola Dueñas Antonio de la Torre Pedro Almodóvar Comedy Crime Drama Mystery volver
Gerald Potterton,John Vernon,Joe Flaherty,Don Francks,Adventure Animation Fantasy Horror Sci-Fi,heavy metal,John Vernon Joe Flaherty Don Francks Gerald Potterton Adventure Animation Fantasy Horror Sci-Fi heavy metal
Jared Hess,Jizelle Jade,Michael Angarano,Héctor Jiménez,Adventure Comedy Sci-Fi,gentlemen broncos,Jizelle Jade Michael Angarano Héctor Jiménez Jared Hess Adventure Comedy Sci-Fi gentlemen broncos
Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,Drama War,richard iii,Robert Downey Jr. Jim Broadbent Kristin Scott Thomas Richard Loncraine Drama War richard iii
David Hackl,Scott Glenn,Michaela McManus,Luisa D'Oliveira,Action Horror Thriller,into the grizzly maze,Scott Glenn Michaela McManus Luisa D'Oliveira David Hackl Action Horror Thriller into the grizzly maze
Anurag Basu,Bárbara Mori,Steven Michael Quezada,Kabir Bedi,Action Drama Romance Thriller,kites,Bárbara Mori Steven Michael Quezada Kabir Bedi Anurag Basu Action Drama Romance Thriller kites
Lars von Trier,Alexander Skarsgård,Kirsten Dunst,Charlotte Rampling,Drama Sci-Fi,melancholia,Alexander Skarsgård Kirsten Dunst Charlotte Rampling Lars von Trier Drama Sci-Fi melancholia
Kriv Stenders,Noah Taylor,Keisha Castle-Hughes,Luke Ford,Biography Comedy Drama Family Romance,red dog,Noah Taylor Keisha Castle-Hughes Luke Ford Kriv Stenders Biography Comedy Drama Family Romance red dog
Yash Chopra,Shah Rukh Khan,Katrina Kaif,Vic Waghorn,Drama Romance,jab tak hai jaan,Shah Rukh Khan Katrina Kaif Vic Waghorn Yash Chopra Drama Romance jab tak hai jaan
Ridley Scott,Tom Skerritt,Yaphet Kotto,Bolaji Badejo,Horror Sci-Fi,alien,Tom Skerritt Yaphet Kotto Bolaji Badejo Ridley Scott Horror Sci-Fi alien
Floria Sigismondi,Kristen Stewart,Scout Taylor-Compton,Johnny Lewis,Biography Drama Music,the runaways,Kristen Stewart Scout Taylor-Compton Johnny Lewis Floria Sigismondi Biography Drama Music the runaways
Norman Jewison,Topol,Paul Michael Glaser,Rosalind Harris,Drama Family Musical Romance,fiddler on the roof,Topol Paul Michael Glaser Rosalind Harris Norman Jewison Drama Family Musical Romance fiddler on the roof
Terence Young,Desmond Llewelyn,Earl Cameron,Lois Maxwell,Action Adventure Thriller,thunderball,Desmond Llewelyn Earl Cameron Lois Maxwell Terence Young Action Adventure Thriller thunderball
Joseph Kahn,Josh Hutcherson,Shanley Caswell,Parker Bagley,Comedy Horror Sci-Fi,detention,Josh Hutcherson Shanley Caswell Parker Bagley Joseph Kahn Comedy Horror Sci-Fi detention
Ferzan Ozpetek,Riccardo Scamarcio,Alessandro Preziosi,Lunetta Savino,Comedy Drama Romance,loose cannons,Riccardo Scamarcio Alessandro Preziosi Lunetta Savino Ferzan Ozpetek Comedy Drama Romance loose cannons
F. Gary Gray,Vivica A. Fox,Jada Pinkett Smith,Blair Underwood,Action Crime Drama Romance Thriller,set it off,Vivica A. Fox Jada Pinkett Smith Blair Underwood F. Gary Gray Action Crime Drama Romance Thriller set it off
Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Jarrod Bunch,Comedy Drama,the best man,Harold Perrineau Sanaa Lathan Jarrod Bunch Malcolm D. Lee Comedy Drama the best man
Tom Holland,Catherine Hicks,Alex Vincent,Dinah Manoff,Fantasy Horror,child's play,Catherine Hicks Alex Vincent Dinah Manoff Tom Holland Fantasy Horror child's play
Michael Moore,Michael Moore,Tucker Albrizzi,Bill Clinton,Documentary Drama,sicko,Michael Moore Tucker Albrizzi Bill Clinton Michael Moore Documentary Drama sicko
James DeMonaco,Noel Gugliemi,Zach Gilford,Roberta Valderrama,Action Horror Sci-Fi Thriller,the purge: anarchy,Noel Gugliemi Zach Gilford Roberta Valderrama James DeMonaco Action Horror Sci-Fi Thriller the purge: anarchy
Kris Isacsson,Rosario Dawson,Lauren German,Shawn Hatosy,Comedy Drama Romance,down to you,Rosario Dawson Lauren German Shawn Hatosy Kris Isacsson Comedy Drama Romance down to you
Danny Leiner,Ethan Embry,Fred Willard,Paula Garcés,Adventure Comedy,harold & kumar go to white castle,Ethan Embry Fred Willard Paula Garcés Danny Leiner Adventure Comedy harold & kumar go to white castle
Rod Lurie,Jeff Bridges,Gary Oldman,William Petersen,Drama Thriller,the contender,Jeff Bridges Gary Oldman William Petersen Rod Lurie Drama Thriller the contender
Ben Younger,Vin Diesel,Nia Long,Herbert Russell,Crime Drama Thriller,boiler room,Vin Diesel Nia Long Herbert Russell Ben Younger Crime Drama Thriller boiler room
John Landis,Don Ameche,Denholm Elliott,Ralph Bellamy,Comedy,trading places,Don Ameche Denholm Elliott Ralph Bellamy John Landis Comedy trading places
Glen Morgan,Oliver Hudson,Crystal Lowe,Andrea Martin,Horror,black christmas,Oliver Hudson Crystal Lowe Andrea Martin Glen Morgan Horror black christmas
Daniel Taplitz,Jennifer Esposito,Tate Taylor,Patrick Cranshaw,Comedy Romance,breakin' all the rules,Jennifer Esposito Tate Taylor Patrick Cranshaw Daniel Taplitz Comedy Romance breakin' all the rules
Kenneth Branagh,Brian Blessed,Derek Jacobi,Danny Webb,Action Biography Drama History Romance War,henry v,Brian Blessed Derek Jacobi Danny Webb Kenneth Branagh Action Biography Drama History Romance War henry v
Tamara Jenkins,Philip Seymour Hoffman,David Zayas,Gbenga Akinnagbe,Comedy Drama,the savages,Philip Seymour Hoffman David Zayas Gbenga Akinnagbe Tamara Jenkins Comedy Drama the savages
Linda Mendoza,Carlos Ponce,Freddy Rodríguez,Maria Conchita Alonso,Comedy Romance,chasing papi,Carlos Ponce Freddy Rodríguez Maria Conchita Alonso Linda Mendoza Comedy Romance chasing papi
Christopher McQuarrie,Kristin Lehman,Nicky Katt,Dylan Kussman,Action Crime Drama Thriller,the way of the gun,Kristin Lehman Nicky Katt Dylan Kussman Christopher McQuarrie Action Crime Drama Thriller the way of the gun
Burr Steers,Kieran Culkin,Rory Culkin,Bill Irwin,Comedy Drama,igby goes down,Kieran Culkin Rory Culkin Bill Irwin Burr Steers Comedy Drama igby goes down
Hart Bochner,Jon Favreau,Matt Ross,Chris Young,Comedy,pcu,Jon Favreau Matt Ross Chris Young Hart Bochner Comedy pcu
Michael O. Sajbel,Bill Cobbs,Drew Fuller,Mircea Monroe,Drama Family Romance,the ultimate gift,Bill Cobbs Drew Fuller Mircea Monroe Michael O. Sajbel Drama Family Romance the ultimate gift
unknown,Ronn Moss,Katherine Kelly Lang,Hunter Tylo,Drama Romance,the bold and the beautiful            ,Ronn Moss Katherine Kelly Lang Hunter Tylo unknown Drama Romance the bold and the beautiful            
Stewart Raffill,Anjelica Huston,John Carradine,Robert Urich,Action Adventure Comedy Romance Sci-Fi,the ice pirates,Anjelica Huston John Carradine Robert Urich Stewart Raffill Action Adventure Comedy Romance Sci-Fi the ice pirates
Davis Guggenheim,Emma Bell,John Doman,Carly Schroeder,Biography Drama Sport,gracie,Emma Bell John Doman Carly Schroeder Davis Guggenheim Biography Drama Sport gracie
Bart Freundlich,Billy Crudup,Garry Shandling,Dagmara Dominczyk,Comedy Drama Romance,trust the man,Billy Crudup Garry Shandling Dagmara Dominczyk Bart Freundlich Comedy Drama Romance trust the man
Andrew Fleming,Steve Coogan,Amy Poehler,David Arquette,Comedy Music,hamlet 2,Steve Coogan Amy Poehler David Arquette Andrew Fleming Comedy Music hamlet 2
Todd Haynes,Christian Bale,Eddie Izzard,Janet McTeer,Drama Music,velvet goldmine,Christian Bale Eddie Izzard Janet McTeer Todd Haynes Drama Music velvet goldmine
Hong-jin Na,Jung-min Hwang,Jun Kunimura,Woo-hee Chun,Fantasy Horror Mystery Thriller,the wailing,Jung-min Hwang Jun Kunimura Woo-hee Chun Hong-jin Na Fantasy Horror Mystery Thriller the wailing
Kevin Tancharoen,Lea Michele,Heather Morris,Kevin McHale,Documentary Music,glee: the 3d concert movie,Lea Michele Heather Morris Kevin McHale Kevin Tancharoen Documentary Music glee: the 3d concert movie
Chatrichalerm Yukol,Sarunyu Wongkrachang,Chatchai Plengpanich,Mai Charoenpura,Action Adventure Drama History War,the legend of suriyothai,Sarunyu Wongkrachang Chatchai Plengpanich Mai Charoenpura Chatrichalerm Yukol Action Adventure Drama History War the legend of suriyothai
Dario Argento,John Amos,Adrienne Barbeau,Sally Kirkland,Horror,two evil eyes,John Amos Adrienne Barbeau Sally Kirkland Dario Argento Horror two evil eyes
Eric Lavaine,Lambert Wilson,Julie Engelbrecht,Lionel Abelanski,Comedy,barbecue,Lambert Wilson Julie Engelbrecht Lionel Abelanski Eric Lavaine Comedy barbecue
Mike Leigh,Lesley Manville,Ruth Sheen,Gary McDonald,Drama,all or nothing,Lesley Manville Ruth Sheen Gary McDonald Mike Leigh Drama all or nothing
Marc Forby,Q'orianka Kilcher,Will Patton,Shaun Evans,Drama,princess kaiulani,Q'orianka Kilcher Will Patton Shaun Evans Marc Forby Drama princess kaiulani
Peter Cattaneo,Jacqueline McKenzie,Vince Colosimo,Peter Callan,Drama Family,opal dream,Jacqueline McKenzie Vince Colosimo Peter Callan Peter Cattaneo Drama Family opal dream
Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney,Action Crime Thriller,heist,Robert De Niro Joshua Mikel D.B. Sweeney Scott Mann Action Crime Thriller heist
Ole Christian Madsen,Lars Mikkelsen,Thure Lindhardt,Christian Berkel,Drama History Thriller War,flame and citron,Lars Mikkelsen Thure Lindhardt Christian Berkel Ole Christian Madsen Drama History Thriller War flame and citron
Meiert Avis,Fisher Stevens,Kip Pardue,Perrey Reeves,Comedy Music Romance,undiscovered,Fisher Stevens Kip Pardue Perrey Reeves Meiert Avis Comedy Music Romance undiscovered
Julian Jarrold,Andrew Garfield,Warren Clarke,John Henshaw,Crime Drama Mystery Thriller,red riding: in the year of our lord 1974,Andrew Garfield Warren Clarke John Henshaw Julian Jarrold Crime Drama Mystery Thriller red riding: in the year of our lord 1974
André Téchiné,Catherine Deneuve,Ronit Elkabetz,Émilie Dequenne,Drama,the girl on the train,Catherine Deneuve Ronit Elkabetz Émilie Dequenne André Téchiné Drama the girl on the train
Emily Young,Sarah Michelle Gellar,Erika Christensen,Jonathan Tucker,Drama Romance,veronika decides to die,Sarah Michelle Gellar Erika Christensen Jonathan Tucker Emily Young Drama Romance veronika decides to die
Peter Faiman,Paul Hogan,Linda Kozlowski,David Gulpilil,Adventure Comedy,crocodile dundee,Paul Hogan Linda Kozlowski David Gulpilil Peter Faiman Adventure Comedy crocodile dundee
Martyn Pick,Sean Pertwee,Steven Waddington,Donald Sumpter,Action Animation Fantasy Horror Mystery Sci-Fi Thriller,"ultramarines: a warhammer 40,000 movie","Sean Pertwee Steven Waddington Donald Sumpter Martyn Pick Action Animation Fantasy Horror Mystery Sci-Fi Thriller ultramarines: a warhammer 40,000 movie"
Roland Suso Richter,Stephen Graham,Sarah Polley,Stephen Rea,Mystery Sci-Fi Thriller,the i inside,Stephen Graham Sarah Polley Stephen Rea Roland Suso Richter Mystery Sci-Fi Thriller the i inside
Jeremy Sims,Harrison Gilbertson,Gyton Grantley,Steve Le Marquand,Drama History War,beneath hill 60,Harrison Gilbertson Gyton Grantley Steve Le Marquand Jeremy Sims Drama History War beneath hill 60
Maïwenn,Riccardo Scamarcio,Maïwenn,Karin Viard,Crime Drama,polisse,Riccardo Scamarcio Maïwenn Karin Viard Maïwenn Crime Drama polisse
Joby Harold,Hayden Christensen,Fisher Stevens,Denis O'Hare,Crime Mystery Thriller,awake,Hayden Christensen Fisher Stevens Denis O'Hare Joby Harold Crime Mystery Thriller awake
unknown,Dee Bradley Baker,James Arnold Taylor,Tom Kane,Action Adventure Animation Drama Fantasy Sci-Fi,star wars: the clone wars            ,Dee Bradley Baker James Arnold Taylor Tom Kane unknown Action Adventure Animation Drama Fantasy Sci-Fi star wars: the clone wars            
Ekachai Uekrongtham,Michael Jai White,Mike Dopud,Celina Jade,Action Crime Thriller,skin trade,Michael Jai White Mike Dopud Celina Jade Ekachai Uekrongtham Action Crime Thriller skin trade
Joel Schumacher,Dianne Wiest,Jami Gertz,Jason Patric,Comedy Fantasy Horror,the lost boys,Dianne Wiest Jami Gertz Jason Patric Joel Schumacher Comedy Fantasy Horror the lost boys
Scott Cooper,Jeff Bridges,Beth Grant,Debrianna Mansini,Drama Music Romance,crazy heart,Jeff Bridges Beth Grant Debrianna Mansini Scott Cooper Drama Music Romance crazy heart
Mark Rydell,David Keith,Frederic Forrest,Alan Bates,Drama Music Romance,the rose,David Keith Frederic Forrest Alan Bates Mark Rydell Drama Music Romance the rose
David E. Talbert,Djimon Hounsou,Christina Milian,Boris Kodjoe,Comedy,baggage claim,Djimon Hounsou Christina Milian Boris Kodjoe David E. Talbert Comedy baggage claim
Roger Vadim,Jane Fonda,David Hemmings,Milo O'Shea,Adventure Comedy Fantasy Sci-Fi,barbarella,Jane Fonda David Hemmings Milo O'Shea Roger Vadim Adventure Comedy Fantasy Sci-Fi barbarella
Nils Gaup,Bjørn Sundquist,Louisa Milwood-Haigh,Stian Smestad,Adventure Family,shipwrecked,Bjørn Sundquist Louisa Milwood-Haigh Stian Smestad Nils Gaup Adventure Family shipwrecked
Alexander Payne,Matthew Broderick,Chris Klein,Molly Hagan,Comedy Drama,election,Matthew Broderick Chris Klein Molly Hagan Alexander Payne Comedy Drama election
Mira Nair,Jacinda Barrett,Brooke Smith,Tabu,Drama,the namesake,Jacinda Barrett Brooke Smith Tabu Mira Nair Drama the namesake
Ari Sandel,Bella Thorne,Romany Malco,Skyler Samuels,Comedy,the duff,Bella Thorne Romany Malco Skyler Samuels Ari Sandel Comedy the duff
Vondie Curtis-Hall,Mariah Carey,Max Beesley,Valarie Pettiford,Drama Music Romance,glitter,Mariah Carey Max Beesley Valarie Pettiford Vondie Curtis-Hall Drama Music Romance glitter
Tom Elkins,Abigail Spencer,Cicely Tyson,Brad James,Drama Horror Mystery Thriller,the haunting in connecticut 2: ghosts of georgia,Abigail Spencer Cicely Tyson Brad James Tom Elkins Drama Horror Mystery Thriller the haunting in connecticut 2: ghosts of georgia
Woo-Suk Kang,Yu-mi Jeong,Sung-kee Ahn,Kyung-gu Sol,Action Drama,silmido,Yu-mi Jeong Sung-kee Ahn Kyung-gu Sol Woo-Suk Kang Action Drama silmido
Jane Campion,Abbie Cornish,Paul Schneider,Samuel Roukin,Biography Drama Romance,bright star,Abbie Cornish Paul Schneider Samuel Roukin Jane Campion Biography Drama Romance bright star
Karan Johar,Shah Rukh Khan,Jimmy Shergill,Christopher B. Duncan,Adventure Drama Thriller,my name is khan,Shah Rukh Khan Jimmy Shergill Christopher B. Duncan Karan Johar Adventure Drama Thriller my name is khan
Herbert Ross,Dianne Wiest,Chris Penn,Lori Singer,Drama Music Romance,footloose,Dianne Wiest Chris Penn Lori Singer Herbert Ross Drama Music Romance footloose
J.C. Chandor,Robert Redford,unknown,unknown,Action Adventure Drama,all is lost,Robert Redford unknown unknown J.C. Chandor Action Adventure Drama all is lost
John Sayles,Mary Elizabeth Mastrantonio,Casey Siemaszko,Vanessa Martinez,Adventure Drama Thriller,limbo,Mary Elizabeth Mastrantonio Casey Siemaszko Vanessa Martinez John Sayles Adventure Drama Thriller limbo
Vipul Amrutlal Shah,Katrina Kaif,Clive Standen,Riteish Deshmukh,Comedy Drama Romance,namastey london,Katrina Kaif Clive Standen Riteish Deshmukh Vipul Amrutlal Shah Comedy Drama Romance namastey london
Ken Loach,Padraic Delaney,Orla Fitzgerald,Martin Lucey,Drama War,the wind that shakes the barley,Padraic Delaney Orla Fitzgerald Martin Lucey Ken Loach Drama War the wind that shakes the barley
Ayan Mukerji,Ranbir Kapoor,Madhuri Dixit,Aditya Roy Kapoor,Comedy Drama Musical Romance,yeh jawaani hai deewani,Ranbir Kapoor Madhuri Dixit Aditya Roy Kapoor Ayan Mukerji Comedy Drama Musical Romance yeh jawaani hai deewani
John G. Avildsen,Martin Kove,William Zabka,William Bassett,Action Drama Family Sport,the karate kid,Martin Kove William Zabka William Bassett John G. Avildsen Action Drama Family Sport the karate kid
Mervyn LeRoy,Peter Ustinov,Deborah Kerr,Robert Taylor,Biography Drama History Romance,quo vadis,Peter Ustinov Deborah Kerr Robert Taylor Mervyn LeRoy Biography Drama History Romance quo vadis
Darren Lynn Bousman,Alexa PenaVega,Paris Hilton,Paul Sorvino,Horror Musical Sci-Fi,repo! the genetic opera,Alexa PenaVega Paris Hilton Paul Sorvino Darren Lynn Bousman Horror Musical Sci-Fi repo! the genetic opera
Serdar Akar,Necati Sasmaz,Bergüzar Korel,Ghassan Massoud,Action Adventure,valley of the wolves: iraq,Necati Sasmaz Bergüzar Korel Ghassan Massoud Serdar Akar Action Adventure valley of the wolves: iraq
Quentin Tarantino,Bruce Willis,Eric Stoltz,Phil LaMarr,Crime Drama,pulp fiction,Bruce Willis Eric Stoltz Phil LaMarr Quentin Tarantino Crime Drama pulp fiction
James Frawley,Madeline Kahn,Jim Henson,Dom DeLuise,Adventure Comedy Family Musical,the muppet movie,Madeline Kahn Jim Henson Dom DeLuise James Frawley Adventure Comedy Family Musical the muppet movie
Dan Gilroy,Jake Gyllenhaal,Michael Papajohn,James Huang,Crime Drama Thriller,nightcrawler,Jake Gyllenhaal Michael Papajohn James Huang Dan Gilroy Crime Drama Thriller nightcrawler
Jay Chandrasekhar,Brittany Daniel,Lindsay Price,Jay Chandrasekhar,Comedy Horror Thriller,club dread,Brittany Daniel Lindsay Price Jay Chandrasekhar Jay Chandrasekhar Comedy Horror Thriller club dread
Robert Wise,Eleanor Parker,Angela Cartwright,Nicholas Hammond,Biography Drama Family Musical Romance,the sound of music,Eleanor Parker Angela Cartwright Nicholas Hammond Robert Wise Biography Drama Family Musical Romance the sound of music
Ron Howard,Tom Hanks,Howard Morris,Patrick Cronin,Comedy Fantasy Romance,splash,Tom Hanks Howard Morris Patrick Cronin Ron Howard Comedy Fantasy Romance splash
Jonathan Dayton,Steve Carell,Steven Christopher Parker,Jill Talley,Comedy Drama,little miss sunshine,Steve Carell Steven Christopher Parker Jill Talley Jonathan Dayton Comedy Drama little miss sunshine
Rob Reiner,Marshall Bell,Frances Lee McCain,Casey Siemaszko,Adventure Drama,stand by me,Marshall Bell Frances Lee McCain Casey Siemaszko Rob Reiner Adventure Drama stand by me
Danny Boyle,Noah Huntley,Megan Burns,David Schneider,Drama Horror Sci-Fi Thriller,28 days later...,Noah Huntley Megan Burns David Schneider Danny Boyle Drama Horror Sci-Fi Thriller 28 days later...
Chris Stokes,Jennifer Freeman,Marques Houston,Steve Harvey,Drama Music,you got served,Jennifer Freeman Marques Houston Steve Harvey Chris Stokes Drama Music you got served
Don Siegel,Clint Eastwood,Patrick McGoohan,Fred Ward,Biography Crime Drama,escape from alcatraz,Clint Eastwood Patrick McGoohan Fred Ward Don Siegel Biography Crime Drama escape from alcatraz
Rick Famuyiwa,Boris Kodjoe,Sanaa Lathan,Wendell Pierce,Comedy Drama Music Romance,brown sugar,Boris Kodjoe Sanaa Lathan Wendell Pierce Rick Famuyiwa Comedy Drama Music Romance brown sugar
Martin Lawrence,Faizon Love,Lynn Whitfield,Della Reese,Comedy Crime Drama Romance Thriller,a thin line between love and hate,Faizon Love Lynn Whitfield Della Reese Martin Lawrence Comedy Crime Drama Romance Thriller a thin line between love and hate
Jonathan Levine,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,Comedy Drama Romance,50/50,Joseph Gordon-Levitt Anna Kendrick Bryce Dallas Howard Jonathan Levine Comedy Drama Romance 50/50
Masayuki Ochiai,James Kyson,David Denman,Daisy Betts,Horror Mystery Thriller,shutter,James Kyson David Denman Daisy Betts Masayuki Ochiai Horror Mystery Thriller shutter
George A. Romero,Ted Danson,Hal Holbrook,Adrienne Barbeau,Comedy Fantasy Horror,creepshow,Ted Danson Hal Holbrook Adrienne Barbeau George A. Romero Comedy Fantasy Horror creepshow
Tom Gormican,Mackenzie Davis,Lola Glaudini,Josh Pais,Comedy Romance,that awkward moment,Mackenzie Davis Lola Glaudini Josh Pais Tom Gormican Comedy Romance that awkward moment
Ken Shapiro,Brian Doyle-Murray,Dabney Coleman,Mary Kay Place,Comedy Fantasy Sci-Fi,modern problems,Brian Doyle-Murray Dabney Coleman Mary Kay Place Ken Shapiro Comedy Fantasy Sci-Fi modern problems
